name,genre,director,country,year_of_make,rating
«16 кварталов»,"криминальный фильм,драма,триллер",Ричард Доннер,"(None,)",2006,6.6
14 июля,комедия,Рене Клер,"(None,)",1933,6.3
14 клинков,"боевик,триллер",Дэниел Ли,"(None,)",2010,6.3
14+,мелодрама,Андрей Зайцев,"(None,)",2015,
13-й участок,"криминальный фильм,драма,экранизация",Мартин Фрич,"(None,)",1946,7.3
13-й район,"антиутопия,боевик",Пьер Морель,"(None,)",2004,7.1
13-я жертва,ужасы,Мэл Хаус,"(None,)",2008,5.9
14 амазонок,"приключенческий фильм,драма,военный фильм","Чэн Ган,Дун Шаоюн","(None,)",1972,6.6
13 часов: Тайные солдаты Бенгази,"военный,драма,триллер",Майкл Бэй,"(None,)",2016,7.3
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,"(None,)",2014,5.6
13 убийц,боевик,Такаси Миикэ,"(None,)",2010,7.4
13-й знак,Ужасы,"Джонти Эктон,Адам Мэйсон","(None,)",2000,7.4
13-й район: Ультиматум,боевик,"Патрик Алессандрен,фр.","(None,)",2009,6.5
13 призраков,фильм ужасов,Уильям Касл,"(None,)",1960,6.0
13 стульев,Комедия,Эмерих Йозеф Войтек,"(None,)",1938,6.9
13 изгнаний дьявола,фильм ужасов,,"(None,)",2022,4.4
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,"(None,)",2006,7.3
12 стульев,"комедия,мюзикл",Марк Захаров,СССР,,6.4
12 разгневанных мужчин,[d],Уильям Фридкин,США,,9.0
12 раундов: Перезагрузка,"боевик,триллер","[d],[1],[2]","(None,)",,5.3
13 грехов,"триллер,фильм ужасов",,"(None,)",2014,6.3
12 обезьян,"фантастика,триллер,драма,антиутопия",Терри Гиллиам,"(None,)",1995,8.0
12 раундов,"боевик,триллер,криминал",Ренни Харлин,"(None,)",2009,5.1
12 лет рабства,"историческая,драма",Стив Маккуин,"(None,)",2013,8.1
12 месяцев,комедия,Александр Баршак,"(None,)",2013,7.3
12 могил Ходжи Насреддина,"комедия,сказка",Климентий Минц,"(None,)",1966,5.4
11:14,"Триллер,детективный фильм,криминал,чёрная комедия",Грег Маркс,"(None,)",2003,7.1
12 месяцев. Новая сказка,"фильм-сказка,комедия,мелодрама,семейный фильм",Денис Елеонский,Россия,,5.1
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,США,,7.7
11.6,"драма,Саундтрек",Филипп Годо,"(None,)",2013,9.5
